block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
,8.0,8.0,False,1536,1,low_rank,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,294912,96,0.8131981000829621,
16,16.0,8.0,False,1536,1,block_circulant,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,0,0.968170859445837,
64,8.0,8.0,False,1536,1,monarch_like,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,294912,48,0.9586195977032813,2
,16.0,16.0,False,1536,1,low_rank,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,48,0.88748100076513,
16,16.0,16.0,False,1536,1,block_circulant,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,0,0.968170859445837,
64,16.0,16.0,False,1536,1,monarch_like,o_proj,model.layers.1.self_attn.o_proj,1536,2359296,147456,24,0.9654903574533423,2
,2.0,2.0,True,1536,1,low_rank,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,1179648,384,0.45894781004761226,
16,16.0,2.0,True,1536,1,block_circulant,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,0,0.9682362387186293,
64,6.0,2.0,True,1536,1,monarch_like,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,393216,64,0.957422045898667,2
,4.0,4.0,True,1536,1,low_rank,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,589824,192,0.6392182042449713,
16,16.0,4.0,True,1536,1,block_circulant,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,0,0.9682362387186293,
64,6.0,4.0,True,1536,1,monarch_like,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,393216,64,0.957422045898667,2
,8.0,8.0,True,1536,1,low_rank,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,294912,96,0.7619442200796023,
16,16.0,8.0,True,1536,1,block_circulant,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,0,0.9682362387186293,
64,8.0,8.0,True,1536,1,monarch_like,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,294912,48,0.9577702452091489,2
,16.0,16.0,True,1536,1,low_rank,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,48,0.8442854612087622,
16,16.0,16.0,True,1536,1,block_circulant,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,0,0.9682362387186293,
64,16.0,16.0,True,1536,1,monarch_like,q_proj,model.layers.1.self_attn.q_proj,1536,2359296,147456,24,0.9643504480379356,2
,2.0018618506795756,2.0,False,1536,1,low_rank,up_proj,model.layers.1.mlp.up_proj,8960,13762560,6874880,655,0.6008739451939171,
16,16.0,2.0,False,1536,1,block_circulant,up_proj,model.layers.1.mlp.up_proj,8960,13762560,860160,0,0.9682438874699947,
64,6.0,2.0,False,1536,1,monarch_like,up_proj,model.layers.1.mlp.up_proj,8960,13762560,2293760,64,0.9575604339183901,2
,4.009845603043186,4.0,False,1536,1,low_rank,up_proj,model.layers.1.mlp.up_proj,8960,13762560,3432192,327,0.7813348759369029,
16,16.0,4.0,False,1536,1,block_circulant,up_proj,model.layers.1.mlp.up_proj,8960,13762560,860160,0,0.9682438874699947,
64,6.0,4.0,False,1536,1,monarch_like,up_proj,model.layers.1.mlp.up_proj,8960,13762560,2293760,64,0.9575604339183901,2
,8.044291485859643,8.0,False,1536,1,low_rank,up_proj,model.layers.1.mlp.up_proj,8960,13762560,1710848,163,0.8785276357451378,
16,16.0,8.0,False,1536,1,block_circulant,up_proj,model.layers.1.mlp.up_proj,8960,13762560,860160,0,0.9682438874699947,
64,8.0,8.0,False,1536,1,monarch_like,up_proj,model.layers.1.mlp.up_proj,8960,13762560,1720320,48,0.9580230271408252,2
,16.187895212285458,16.0,False,1536,1,low_rank,up_proj,model.layers.1.mlp.up_proj,8960,13762560,850176,81,0.9313420083799309,
16,16.0,16.0,False,1536,1,block_circulant,up_proj,model.layers.1.mlp.up_proj,8960,13762560,860160,0,0.9682438874699947,
64,16.0,16.0,False,1536,1,monarch_like,up_proj,model.layers.1.mlp.up_proj,8960,13762560,860160,24,0.9657869877918153,2
,2.0131061598951505,2.0,True,1536,1,low_rank,v_proj,model.layers.1.self_attn.v_proj,256,393216,195328,109,0.626320484122674,
16,16.0,2.0,True,1536,1,block_circulant,v_proj,model.layers.1.self_attn.v_proj,256,393216,24576,0,0.9685251423529224,
64,6.0,2.0,True,1536,1,monarch_like,v_proj,model.layers.1.self_attn.v_proj,256,393216,65536,64,0.9572987479563205,2
,4.063492063492063,4.0,True,1536,1,low_rank,v_proj,model.layers.1.self_attn.v_proj,256,393216,96768,54,0.8102246966687562,
16,16.0,4.0,True,1536,1,block_circulant,v_proj,model.layers.1.self_attn.v_proj,256,393216,24576,0,0.9685251423529224,
64,6.0,4.0,True,1536,1,monarch_like,v_proj,model.layers.1.self_attn.v_proj,256,393216,65536,64,0.9572987479563205,2
,8.126984126984127,8.0,True,1536,1,low_rank,v_proj,model.layers.1.self_attn.v_proj,256,393216,48384,27,0.9007315188456602,
16,16.0,8.0,True,1536,1,block_circulant,v_proj,model.layers.1.self_attn.v_proj,256,393216,24576,0,0.9685251423529224,
64,8.0,8.0,True,1536,1,monarch_like,v_proj,model.layers.1.self_attn.v_proj,256,393216,49152,48,0.9577589336755511,2
,16.87912087912088,16.0,True,1536,1,low_rank,v_proj,model.layers.1.self_attn.v_proj,256,393216,23296,13,0.9490889238106908,
16,16.0,16.0,True,1536,1,block_circulant,v_proj,model.layers.1.self_attn.v_proj,256,393216,24576,0,0.9685251423529224,
64,16.0,16.0,True,1536,1,monarch_like,v_proj,model.layers.1.self_attn.v_proj,256,393216,24576,24,0.9660017436578527,2
